Date,Time,Generation,Demand,Loadshed,Gas,Liquid Fuel,Coal,Hydro,Solar,Wind,Bheramara HVDC,Tripura,Adani,Remarks
20.04.2015,22:00:00,6702,6702,0,3648,2418,160,42,0,0,434,0,0,
20.04.2015,21:00:00,6636.5,6636.5,0,3699.166667,2301.5,158.8333333,41.66666667,0,0,435.3333333,0,0,
20.04.2015,20:00:00,6571,6571,0,3750.333333,2185,157.6666667,41.33333333,0,0,436.6666667,0,0,Evening Peak
20.04.2015,19:00:00,6505.5,6505.5,0,3801.5,2068.5,156.5,41,0,0,438,0,0,
20.04.2015,18:00:00,6440,6440,0,3852.666667,1952,155.3333333,40.66666667,0,0,439.3333333,0,0,
20.04.2015,23:00:00,6506,6506,0,3972,1908,152,41.33333333,0,0,432.6666667,0,0,
20.04.2015,17:00:00,6374.5,6374.5,0,3903.833333,1835.5,154.1666667,40.33333333,0,0,440.6666667,0,0,
20.04.2015,16:00:00,6309,6309,0,3955,1719,153,40,0,0,442,0,0,Day Peak
20.04.2015,15:00:00,6218,6218,0,3905,1673,158,40,0,0,442,0,0,
20.04.2015,13:00:00,6064,6064,0,3898,1523,160,42,0,0,441,0,0,
20.04.2015,14:00:00,6069,6069,0,3952,1477,157,42,0,0,441,0,0,
20.04.2015,0:00:00,6310,6310,0,4296,1398,144,40.66666667,0,0,431.3333333,0,0,
20.04.2015,12:00:00,5808,5808,0,3853,1317,155,42,0,0,441,0,0,
20.04.2015,11:00:00,5787,5787,0,3976,1168,159,42,0,0,442,0,0,
20.04.2015,10:00:00,5603,5603,0,4014,956,149,42,0,0,442,0,0,
20.04.2015,1:00:00,5678,5678,0,4140,895,162,40,0,0,441,0,0,
20.04.2015,2:00:00,5607.285714,5607.285714,0,4118.428571,848.7142857,160.5714286,38.57142857,0,0,441,0,0,
20.04.2015,3:00:00,5536.571429,5536.571429,0,4096.857143,802.4285714,159.1428571,37.14285714,0,0,441,0,0,
20.04.2015,4:00:00,5465.857143,5465.857143,0,4075.285714,756.1428571,157.7142857,35.71428571,0,0,441,0,0,
20.04.2015,9:00:00,5569,5569,0,4209,738,151,30,0,0,441,0,0,
